"id","basic_id","mixed_incl","present","present_quantity_unknown","tested","marker_type_id","site_id","site_id2","start_year","end_year","k13_id"
"142793","null","false","0","null","95","177","6833","null","2016","2016","null"
"142794","null","false","0","null","95","3","6833","null","2016","2016","null"
"142795","null","false","0","null","95","179","6833","null","2016","2016","null"
"142852","null","false","354","null","407","185","5672","null","2014","2015","null"
"142853","null","false","42","null","407","186","5672","null","2014","2015","null"
"142854","null","false","7","null","407","187","5672","null","2014","2015","null"
"142855","null","false","397","null","407","6","5672","null","2014","2015","null"
"142856","null","false","361","null","407","7","5672","null","2014","2015","null"
"142857","null","false","404","null","407","1","5672","null","2014","2015","null"
"142858","null","false","1","null","407","3","5672","null","2014","2015","null"
"142859","null","false","14","null","326","188","5672","null","2014","2015","null"
"142860","null","false","31","null","326","189","5672","null","2014","2015","null"
"142861","null","false","319","null","326","10","5672","null","2014","2015","null"
"142862","null","false","45","null","326","11","5672","null","2014","2015","null"
"142863","null","false","22","null","326","12","5672","null","2014","2015","null"
"142864","null","false","12","null","282","192","5672","null","2014","2015","null"
"142865","null","false","25","null","282","193","5672","null","2014","2015","null"
"142866","null","false","339","null","393","185","5673","null","2014","2015","null"
"142867","null","false","47","null","393","186","5673","null","2014","2015","null"
"142868","null","false","4","null","393","187","5673","null","2014","2015","null"
"142869","null","false","386","null","393","6","5673","null","2014","2015","null"
"142870","null","false","343","null","393","7","5673","null","2014","2015","null"
"142871","null","false","390","null","393","1","5673","null","2014","2015","null"
"142872","null","false","23","null","311","188","5673","null","2014","2015","null"
"142873","null","false","30","null","311","189","5673","null","2014","2015","null"
"142874","null","false","299","null","311","10","5673","null","2014","2015","null"
"142875","null","false","53","null","311","11","5673","null","2014","2015","null"
"142876","null","false","31","null","311","12","5673","null","2014","2015","null"
"142877","null","false","0","null","393","3","5673","null","2014","2015","null"
"142878","null","false","22","null","307","192","5673","null","2014","2015","null"
"142879","null","false","30","null","307","193","5673","null","2014","2015","null"
"142880","null","false","419","null","464","185","5674","null","2014","2015","null"
"142881","null","false","38","null","464","186","5674","null","2014","2015","null"
"142882","null","false","2","null","464","187","5674","null","2014","2015","null"
"142883","null","false","458","null","464","6","5674","null","2014","2015","null"
"142884","null","false","421","null","464","7","5674","null","2014","2015","null"
"142885","null","false","460","null","464","1","5674","null","2014","2015","null"
"142886","null","false","0","null","464","3","5674","null","2014","2015","null"
"142887","null","false","9","null","408","188","5674","null","2014","2015","null"
"142888","null","false","53","null","408","189","5674","null","2014","2015","null"
"142889","null","false","404","null","408","10","5674","null","2014","2015","null"
"142890","null","false","62","null","408","11","5674","null","2014","2015","null"
"142891","null","false","14","null","408","12","5674","null","2014","2015","null"
"142892","null","false","6","null","386","192","5674","null","2014","2015","null"
"142893","null","false","49","null","386","193","5674","null","2014","2015","null"
"142894","null","false","385","null","450","185","5675","null","2014","2015","null"
"142895","null","false","62","null","450","186","5675","null","2014","2015","null"
"142896","null","false","2","null","450","187","5675","null","2014","2015","null"
"142897","null","false","447","null","450","6","5675","null","2014","2015","null"
"142898","null","false","449","null","450","1","5675","null","2014","2015","null"
"142899","null","false","387","null","450","7","5675","null","2014","2015","null"
"142900","null","false","0","null","450","3","5675","null","2014","2015","null"
"142901","null","false","15","null","390","188","5675","null","2014","2015","null"
"142902","null","false","35","null","390","189","5675","null","2014","2015","null"
"142903","null","false","382","null","390","10","5675","null","2014","2015","null"
"142904","null","false","50","null","390","11","5675","null","2014","2015","null"
"142905","null","false","17","null","390","12","5675","null","2014","2015","null"
"142906","null","false","11","null","367","192","5675","null","2014","2015","null"
"142907","null","false","36","null","367","193","5675","null","2014","2015","null"
"142908","6383","false","1","false","2","62","547","null","2012","2012","null"
"142909","6384","false","1","false","2","65","547","null","2012","2012","null"
"142910","6385","false","1","false","2","72","547","null","2012","2012","null"
"142911","6386","false","0","false","2","80","547","null","2012","2012","null"
"142912","6387","false","1","false","2","81","547","null","2012","2012","null"
"142913","6388","false","0","false","2","89","547","null","2012","2012","null"
"142914","6389","false","0","false","2","125","547","null","2012","2012","null"
"142915","6390","false","2","false","2","126","547","null","2012","2012","null"
"142916","6391","false","0","false","2","132","547","null","2012","2012","null"
"142917","6392","false","2","false","2","141","547","null","2012","2012","null"
"142918","6414","false","1","false","2","156","547","null","2012","2012","null"
"142919","6415","false","1","false","2","154","547","null","2012","2012","null"
"142920","null","false","0","null","1","9","547","null","2012","2012","null"
"142921","null","false","0","null","1","10","547","null","2012","2012","null"
"142922","null","false","0","null","1","180","547","null","2012","2012","null"
"142923","null","false","0","null","1","11","547","null","2012","2012","null"
"142924","null","false","0","null","1","181","547","null","2012","2012","null"
"142925","null","false","0","null","1","12","547","null","2012","2012","null"
"142926","null","false","0","null","1","182","547","null","2012","2012","null"
"142927","null","false","1","null","1","13","547","null","2012","2012","null"
"142928","null","false","0","null","1","183","547","null","2012","2012","null"
"142929","null","false","0","null","1","15","547","null","2012","2012","null"
"142930","null","false","0","null","1","184","547","null","2012","2012","null"
"142931","null","false","0","null","1","5","547","null","2012","2012","null"
"142932","null","false","0","null","1","174","547","null","2012","2012","null"
"142933","null","false","1","null","1","6","547","null","2012","2012","null"
"142934","null","false","0","null","1","175","547","null","2012","2012","null"
"142935","null","false","1","null","1","7","547","null","2012","2012","null"
"142936","null","false","0","null","1","176","547","null","2012","2012","null"
"142937","null","false","1","null","1","1","547","null","2012","2012","null"
"142938","null","false","0","null","1","177","547","null","2012","2012","null"
"142939","null","false","0","null","1","3","547","null","2012","2012","null"
"142940","null","false","0","null","1","179","547","null","2012","2012","null"
"142941","null","false","0","null","1","189","547","null","2012","2012","null"
"142942","null","false","0","null","1","188","547","null","2012","2012","null"
"142943","null","false","0","null","1","187","547","null","2012","2012","null"
"142944","null","false","0","null","1","185","547","null","2012","2012","null"
"142945","null","false","0","null","1","186","547","null","2012","2012","null"
"142946","null","false","0","null","1","193","547","null","2012","2012","null"
"142947","6373","false","0","false","2","62","665","null","2012","2012","null"
"142948","6374","false","1","false","2","65","665","null","2012","2012","null"
"142949","6375","false","1","false","2","72","665","null","2012","2012","null"
"142950","6376","false","1","false","2","80","665","null","2012","2012","null"
"142951","6377","false","0","false","2","81","665","null","2012","2012","null"
"142952","6378","false","1","false","2","89","665","null","2012","2012","null"
"142953","6379","false","1","false","2","125","665","null","2012","2012","null"
"142954","6380","false","2","false","2","126","665","null","2012","2012","null"
"142955","6381","false","0","false","2","132","665","null","2012","2012","null"
"142956","6382","false","1","false","2","141","665","null","2012","2012","null"
"142957","6417","false","1","false","2","165","665","null","2012","2012","null"
"142958","6418","false","1","false","2","156","665","null","2012","2012","null"
"142959","null","false","1","null","1","9","665","null","2012","2012","null"
"142960","null","false","1","null","1","10","665","null","2012","2012","null"
"142961","null","false","0","null","1","180","665","null","2012","2012","null"
"142962","null","false","0","null","1","11","665","null","2012","2012","null"
"142963","null","false","0","null","1","181","665","null","2012","2012","null"
"142964","null","false","0","null","1","12","665","null","2012","2012","null"
"142965","null","false","0","null","1","182","665","null","2012","2012","null"
"142966","null","false","0","null","1","13","665","null","2012","2012","null"
"142967","null","false","0","null","1","183","665","null","2012","2012","null"
"142968","null","false","0","null","1","15","665","null","2012","2012","null"
"142969","null","false","0","null","1","184","665","null","2012","2012","null"
"142970","null","false","0","null","1","5","665","null","2012","2012","null"
"142971","null","false","0","null","1","174","665","null","2012","2012","null"
"142972","null","false","1","null","1","6","665","null","2012","2012","null"
"142973","null","false","0","null","1","175","665","null","2012","2012","null"
"142974","null","false","1","null","1","7","665","null","2012","2012","null"
"142975","null","false","0","null","1","176","665","null","2012","2012","null"
"142976","null","false","1","null","1","1","665","null","2012","2012","null"
"142977","null","false","0","null","1","177","665","null","2012","2012","null"
"142978","null","false","0","null","1","3","665","null","2012","2012","null"
"142979","null","false","0","null","1","179","665","null","2012","2012","null"
"142980","null","false","0","null","1","189","665","null","2012","2012","null"
"142981","null","false","0","null","1","188","665","null","2012","2012","null"
"142982","null","false","0","null","1","187","665","null","2012","2012","null"
"142983","null","false","1","null","1","185","665","null","2012","2012","null"
"142984","null","false","0","null","1","186","665","null","2012","2012","null"
"142985","null","false","0","null","1","193","665","null","2012","2012","null"
"142986","6363","false","0","false","1","80","459","null","2012","2012","null"
"142987","6364","false","0","false","1","72","459","null","2012","2012","null"
"142988","6365","false","1","false","1","81","459","null","2012","2012","null"
"142989","6366","false","0","false","1","89","459","null","2012","2012","null"
"142990","6367","false","0","false","1","65","459","null","2012","2012","null"
"142991","6368","false","1","false","1","62","459","null","2012","2012","null"
"142992","6369","false","0","false","1","125","459","null","2012","2012","null"
"142993","6370","false","1","false","1","141","459","null","2012","2012","null"
"142994","6371","false","1","false","1","126","459","null","2012","2012","null"
"142995","6372","false","0","false","1","132","459","null","2012","2012","null"
"142996","6413","false","1","false","1","150","459","null","2012","2012","null"
"142997","null","false","0","null","1","180","459","null","2012","2012","null"
"142998","null","false","1","null","1","10","459","null","2012","2012","null"
"142999","null","false","0","null","1","9","459","null","2012","2012","null"
"143000","null","false","1","null","1","11","459","null","2012","2012","null"
"143001","null","false","0","null","1","181","459","null","2012","2012","null"
"143002","null","false","0","null","1","12","459","null","2012","2012","null"
"143003","null","false","0","null","1","182","459","null","2012","2012","null"
"143004","null","false","0","null","1","13","459","null","2012","2012","null"
"143005","null","false","0","null","1","183","459","null","2012","2012","null"
"143006","null","false","0","null","1","5","459","null","2012","2012","null"
"143007","null","false","0","null","1","174","459","null","2012","2012","null"
"143008","null","false","0","null","1","6","459","null","2012","2012","null"
"143009","null","false","0","null","1","175","459","null","2012","2012","null"
"143010","null","false","0","null","1","7","459","null","2012","2012","null"
"143011","null","false","0","null","1","176","459","null","2012","2012","null"
"143012","null","false","0","null","1","1","459","null","2012","2012","null"
"143013","null","false","0","null","1","177","459","null","2012","2012","null"
"143014","null","false","0","null","1","3","459","null","2012","2012","null"
"143015","null","false","0","null","1","179","459","null","2012","2012","null"
"143016","null","false","1","null","1","189","459","null","2012","2012","null"
"143017","null","false","0","null","1","188","459","null","2012","2012","null"
"143018","null","false","1","null","1","187","459","null","2012","2012","null"
"143019","null","false","0","null","1","185","459","null","2012","2012","null"
"143020","null","false","0","null","1","186","459","null","2012","2012","null"
"143021","null","false","0","null","1","193","459","null","2012","2012","null"
"143022","6403","false","0","false","1","62","797","null","2012","2012","null"
"143023","6404","false","0","false","1","65","797","null","2012","2012","null"
"143024","6405","false","0","false","1","72","797","null","2012","2012","null"
"143025","6406","false","1","false","1","80","797","null","2012","2012","null"
"143026","6407","false","0","false","1","81","797","null","2012","2012","null"
"143027","6408","false","1","false","1","89","797","null","2012","2012","null"
"143028","6409","false","0","false","1","125","797","null","2012","2012","null"
"143029","6410","false","1","false","1","126","797","null","2012","2012","null"
"143030","6411","false","0","false","1","132","797","null","2012","2012","null"
"143031","6412","false","1","false","1","141","797","null","2012","2012","null"
"143032","6419","false","1","false","1","150","797","null","2012","2012","null"
"143033","null","false","0","null","1","9","797","null","2012","2012","null"
"143034","null","false","1","null","1","10","797","null","2012","2012","null"
"143035","null","false","0","null","1","180","797","null","2012","2012","null"
"143036","null","false","0","null","1","11","797","null","2012","2012","null"
"143037","null","false","0","null","1","181","797","null","2012","2012","null"
"143038","null","false","0","null","1","12","797","null","2012","2012","null"
"143039","null","false","0","null","1","182","797","null","2012","2012","null"
"143040","null","false","0","null","1","13","797","null","2012","2012","null"
"143041","null","false","0","null","1","183","797","null","2012","2012","null"
"143042","null","false","0","null","1","15","797","null","2012","2012","null"
"143043","null","false","0","null","1","184","797","null","2012","2012","null"
"143044","null","false","0","null","1","5","797","null","2012","2012","null"
"143045","null","false","0","null","1","174","797","null","2012","2012","null"
"143046","null","false","0","null","1","6","797","null","2012","2012","null"
"143047","null","false","0","null","1","175","797","null","2012","2012","null"
"143048","null","false","0","null","1","7","797","null","2012","2012","null"
"143049","null","false","1","null","1","176","797","null","2012","2012","null"
"143050","null","false","0","null","1","1","797","null","2012","2012","null"
"143051","null","false","1","null","1","177","797","null","2012","2012","null"
"143052","null","false","0","null","1","3","797","null","2012","2012","null"
"143053","null","false","0","null","1","179","797","null","2012","2012","null"
"143054","null","false","0","null","1","189","797","null","2012","2012","null"
"143055","null","false","0","null","1","188","797","null","2012","2012","null"
"143056","null","true","1","null","1","187","797","null","2012","2012","null"
"143057","null","false","0","null","1","185","797","null","2012","2012","null"
"143058","null","false","0","null","1","186","797","null","2012","2012","null"
"143059","null","false","0","null","1","193","797","null","2012","2012","null"
"143060","6393","false","1","false","1","62","319","null","2012","2012","null"
"143061","6394","false","0","false","1","65","319","null","2012","2012","null"
"143062","6395","false","0","false","1","72","319","null","2012","2012","null"
"143063","6396","false","0","false","1","80","319","null","2012","2012","null"
"143064","6397","false","1","false","1","81","319","null","2012","2012","null"
"143065","6398","false","0","false","1","89","319","null","2012","2012","null"
"143066","6399","false","0","false","1","125","319","null","2012","2012","null"
"143067","6400","false","1","false","1","126","319","null","2012","2012","null"
"143068","6401","false","0","false","1","132","319","null","2012","2012","null"
"143069","6402","false","1","false","1","141","319","null","2012","2012","null"
"143070","6416","false","1","false","1","150","319","null","2012","2012","null"
"143071","null","false","0","null","1","9","319","null","2012","2012","null"
"143072","null","false","0","null","1","10","319","null","2012","2012","null"
"143073","null","false","0","null","1","180","319","null","2012","2012","null"
"143074","null","false","0","null","1","11","319","null","2012","2012","null"
"143075","null","false","0","null","1","181","319","null","2012","2012","null"
"143076","null","false","0","null","1","12","319","null","2012","2012","null"
"143077","null","false","0","null","1","182","319","null","2012","2012","null"
"143078","null","false","0","null","1","13","319","null","2012","2012","null"
"143079","null","false","0","null","1","183","319","null","2012","2012","null"
"143080","null","false","0","null","1","15","319","null","2012","2012","null"
"143081","null","false","0","null","1","184","319","null","2012","2012","null"
"143082","null","false","0","null","1","5","319","null","2012","2012","null"
"143083","null","false","0","null","1","174","319","null","2012","2012","null"
"143084","null","false","1","null","1","6","319","null","2012","2012","null"
"143085","null","false","0","null","1","175","319","null","2012","2012","null"
"143086","null","false","0","null","1","7","319","null","2012","2012","null"
"143087","null","false","0","null","1","176","319","null","2012","2012","null"
